date,daa
2022-08-30,6298.0
2022-08-29,1840.0
2022-08-28,1482.0
2022-08-27,1766.0
2022-08-26,2070.0
2022-08-25,1710.0
2022-08-24,1771.0
2022-08-23,1920.0
2022-08-22,1683.0
2022-08-21,1629.0
2022-08-20,1742.0
2022-08-19,2210.0
2022-08-18,1933.0
2022-08-17,1963.0
2022-08-16,2065.0
2022-08-15,1935.0
2022-08-14,2090.0
2022-08-13,3000.0
2022-08-12,2208.0
2022-08-11,2103.0
2022-08-10,2009.0
2022-08-09,2531.0
2022-08-08,2676.0
2022-08-07,2134.0
2022-08-06,1953.0
2022-08-05,3919.0
2022-08-04,2247.0
2022-08-03,2406.0
2022-08-02,3141.0
2022-08-01,2362.0
2022-07-31,2461.0
2022-07-30,2228.0
2022-07-29,2533.0
2021-07-25,112.0
2021-07-24,125.0
2022-07-28,2798.0
2022-07-27,2522.0
2022-07-26,2289.0
2022-07-25,3128.0
2022-07-24,3460.0
2022-07-23,3069.0
2022-07-22,3287.0
2022-07-21,3715.0
2022-07-20,4743.0
2022-07-19,4668.0
2022-07-18,4496.0
2022-07-17,3422.0
2022-07-16,3602.0
2022-07-15,5346.0
2022-07-14,5838.0
2022-07-13,8831.0
2022-07-12,14150.0
2022-07-11,5670.0
2022-07-10,1401.0
2022-07-09,1291.0
2022-07-08,1399.0
2022-07-07,1510.0
2022-07-06,1431.0
2022-07-05,1462.0
2022-07-04,1487.0
2022-07-03,1464.0
2022-07-02,1498.0
2022-07-01,1732.0
2022-06-30,1570.0
2022-06-29,1426.0
2022-06-28,1514.0
2022-06-27,1509.0
2022-06-26,1534.0
2022-06-25,1565.0
2022-06-24,1850.0
2022-06-23,2063.0
2022-06-22,2008.0
2022-06-21,2002.0
2022-06-20,1941.0
2022-06-19,1849.0
2022-06-18,2009.0
2022-06-17,1993.0
2022-06-16,1844.0
2022-06-15,2130.0
2022-06-14,2569.0
2022-06-13,2926.0
2022-06-12,2037.0
2022-06-11,2089.0
2022-06-10,2261.0
